YEAR(S),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1953,,,,,,0.86,0.00,0.39,0.04,1.08,2.64,1.50,6.51
1954,5.96,5.71,5.41,2.18,0.19,0.43,0.05,0.17,0.26,0.00,4.31,5.50,30.17
1955,3.20,3.04,2.04,3.37,1.08,0.39,0.00,0.00,0.45,0.69,3.61,25.68,43.55
1956,12.40,0.15,,0.32,3.52,0.00,0.53,0.26,0.30,7.10,0.01,1.75,25.87
1957,6.88,5.90,3.86,1.31,4.84,0.10,0.12,0.00,0.65,3.20,2.08,7.88,36.82
1958,6.13,11.51,8.23,6.54,0.40,2.10,0.98,0.75,0.65,0.39,1.53,0.00,39.21
1959,2.92,8.66,1.06,0.42,2.39,0.00,0.00,0.24,2.34,0.00,0.00,0.23,18.03
1960,,,5.00,0.47,1.06,0.01,0.07,0.00,0.14,0.85,6.11,2.32,11.03
1961,1.76,2.97,3.20,2.45,1.78,1.13,0.39,0.34,0.84,2.54,3.36,0.96,21.72
1962,2.72,13.74,5.77,1.16,1.02,0.15,0.72,0.54,0.24,11.12,2.33,2.52,42.03
1963,7.79,4.26,6.09,6.78,3.27,2.48,0.00,0.13,1.18,1.93,8.17,0.70,42.78
1964,6.28,0.29,3.02,1.26,2.30,1.35,0.17,0.29,0.00,0.55,5.07,11.18,31.76
1965,7.57,0.88,1.89,2.77,0.78,1.07,0.84,3.89,0.89,0.21,4.75,6.13,31.67
1966,1.79,2.07,1.71,1.09,0.62,0.06,0.08,2.07,0.25,0.01,9.42,6.77,25.94
1967,12.93,0.53,10.89,4.25,1.47,1.05,0.33,1.75,0.95,1.52,2.34,4.01,42.02
1968,5.42,5.02,3.00,0.41,0.71,0.62,0.07,1.45,0.15,1.82,4.40,8.17,31.24
1969,20.33,9.11,0.94,2.00,0.22,2.71,0.18,0.00,0.11,3.27,1.09,10.38,50.34
1970,15.96,2.44,2.58,1.86,0.21,2.55,0.00,0.02,0.11,1.41,11.32,10.04,48.50
1971,3.61,0.79,7.71,2.42,3.16,0.49,1.59,0.27,0.66,0.69,4.01,9.08,34.48
1972,2.74,3.30,0.66,3.36,1.20,0.54,0.01,1.24,1.96,2.61,5.30,5.73,28.65
1973,9.10,5.17,1.99,0.75,1.41,0.14,0.30,0.64,0.45,2.40,9.67,5.77,37.79
1974,5.64,2.34,7.83,1.52,0.35,0.00,2.83,0.32,0.00,0.92,2.11,3.22,27.08
1975,2.15,9.70,8.51,3.37,0.72,0.78,0.00,1.02,1.84,6.09,1.59,1.06,36.83
1976,0.85,4.02,2.53,0.43,0.27,0.43,0.59,2.80,0.96,0.93,0.86,0.20,14.87
1977,2.32,3.06,2.21,0.09,2.25,1.22,0.35,0.32,0.48,0.58,2.68,4.31,19.87
1978,10.85,6.28,4.02,2.01,0.95,0.34,0.29,0.00,1.46,0.32,1.17,1.48,29.17
1979,6.18,11.12,2.79,2.53,2.21,0.26,0.80,0.43,0.30,4.14,1.26,6.68,38.70
1980,13.34,11.37,3.53,2.17,2.03,0.51,1.19,0.07,0.64,1.30,1.34,2.73,40.22
1981,6.96,2.23,3.52,0.90,2.28,0.11,0.00,0.10,0.68,4.83,16.59,9.56,47.76
1982,6.16,5.13,10.49,6.53,,0.88,0.29,0.26,4.80,7.62,7.34,7.98,57.48
1983,5.33,9.22,10.67,3.72,0.26,0.23,0.05,1.76,1.98,3.97,17.08,10.57,64.84
1984,0.33,4.55,2.76,0.98,0.64,0.88,1.58,0.23,0.57,2.09,9.35,0.96,24.92
1985,0.54,3.14,5.53,0.13,0.14,0.30,0.61,0.14,2.18,1.39,6.15,3.94,24.19
1986,5.08,23.67,7.67,1.24,1.12,0.23,0.60,0.00,2.50,0.00,0.37,0.67,43.15
1987,3.39,4.83,3.86,0.48,1.07,0.67,0.16,0.00,0.02,0.88,1.53,5.83,22.72
1988,3.70,0.10,0.30,1.39,1.12,1.18,0.53,0.17,0.23,0.46,8.63,3.51,21.32
1989,1.21,5.67,11.58,1.24,1.25,1.80,0.00,2.19,3.02,5.01,2.56,0.12,35.65
1990,4.12,4.41,2.06,1.51,2.69,0.40,0.50,0.55,1.90,0.84,1.02,0.93,20.93
1991,0.31,1.20,13.66,0.99,1.79,0.57,1.29,1.61,0.97,3.46,2.83,1.92,30.60
1992,0.68,5.50,1.77,0.73,0.19,1.11,0.26,0.41,0.30,3.74,0.15,10.84,25.68
1993,11.32,7.77,3.55,1.60,2.13,0.98,0.17,0.30,0.00,2.16,2.03,2.81,34.82
1994,1.13,5.82,1.26,0.49,1.10,0.00,0.06,0.00,0.79,0.75,6.71,3.71,21.82
1995,13.00,1.29,18.62,4.56,4.18,1.40,0.66,0.03,0.00,0.00,0.89,5.00,49.63
1996,9.11,12.14,4.71,3.47,6.39,0.50,0.69,0.26,1.35,3.57,5.78,18.24,66.21
1997,2.89,0.33,0.55,,,,0.00,0.00,0.23,0.31,1.76,1.98,8.05
1998,3.36,6.55,3.45,1.22,1.28,0.79,0.05,0.10,3.71,1.69,7.31,1.85,27.91
1999,3.43,4.44,,0.57,0.99,0.57,0.00,1.11,0.32,1.77,0.32,0.20,13.72
2000,4.53,2.35,0.15,0.57,0.67,0.23,,,0.17,1.20,,,2.99
2001,,,,,0.00,0.00,0.00,0.00,0.37,,,,0.00
2002,4.34,,,,,0.03,0.00,,,,,,4.34
2003,,1.69,2.56,6.41,0.80,0.18,0.71,1.33,0.58,0.56,0.73,8.12,15.55
2004,2.70,6.37,0.98,0.41,0.68,0.19,0.10,0.00,0.21,2.96,2.31,6.45,11.64
2005,4.30,1.53,5.41,,,0.69,0.00,0.07,0.20,1.08,2.16,19.47,30.61
2006,5.81,5.22,8.09,6.98,0.91,0.72,0.42,0.00,0.00,0.37,,,28.52
2007,1.20,5.64,1.10,1.90,0.83,0.23,,,,,,,5.26
